id,name,addr1,addr2,lat,lon,bikes_avail,spots_avail,spots_total,status,status_key,test_stn
258,DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Vanderbilt Ave,,40.68940747,-73.96885458,0,23,23,In Service,1,False
259,South St & Whitehall St,South St & Whitehall St,,40.70122128,-74.01234218,33,6,39,In Service,1,False
260,Broad St & Bridge St,Broad St & Bridge St,,40.70365182,-74.01167797,34,1,35,In Service,1,False
261,Johnson St & Gold St,Johnson St & Gold St,,40.69474881,-73.98362464,11,16,27,In Service,1,False
262,Washington Park,Washington Park,,40.69178232,-73.97372989,0,24,24,In Service,1,False
263,Elizabeth St & Hester St,Elizabeth St & Hester St,,40.71729,-73.996375,16,15,31,In Service,1,False
264,Maiden Ln & Pearl St,Maiden Ln & Pearl St,,40.70706456,-74.00731853,25,2,27,In Service,1,False
265,Stanton St & Chrystie St,Stanton St & Chrystie St,,40.72229346,-73.99147535,6,29,35,In Service,1,False
266,Avenue D & E 8 St,Avenue D & E 8 St,,40.72368361,-73.97574813,0,24,24,In Service,1,False
267,Broadway & W 36 St,Broadway & W 36 St,,40.75097711,-73.98765428,2,55,57,In Service,1,False
268,Howard St & Centre St,Howard St & Centre St,,40.71910537,-73.99973337,19,8,27,In Service,1,False
270,Adelphi St & Myrtle Ave,Adelphi St & Myrtle Ave,,40.69308257,-73.97178913,1,22,23,In Service,1,False
271,Ashland Pl & Hanson Pl,Ashland Pl & Hanson Pl,,40.68528172,-73.97805813,1,38,39,In Service,1,False
274,Lafayette Ave & Fort Greene Pl,Lafayette Ave & Fort Greene Pl,,40.68691865,-73.976682,11,20,31,In Service,1,False
275,Washington Ave & Greene Ave,Washington Ave & Greene Ave,,40.68650065,-73.96563307,1,18,19,In Service,1,False
276,Duane St & Greenwich St,Duane St & Greenwich St,,40.71748752,-74.0104554,12,13,25,In Service,1,False
278,Concord St & Bridge St,Concord St & Bridge St,,40.69766564,-73.98476437,0,19,19,In Service,1,False
279,Sands St & Gold St,Sands St & Gold St,,40.69986937,-73.98271933,3,16,19,In Service,1,False
280,E 10 St & 5 Ave,E 10 St & 5 Ave,,40.73331967,-73.99510132,4,27,31,In Service,1,False
